Категория: Все категории

Месяц,Марина Ивановна Цветаева: (Россия),Владимир Маяковский: (Россия),Сергей Есенин: (Россия)
2004-01,25,36,16
2004-02,17,44,0
2004-03,0,38,14
2004-04,18,0,13
2004-05,16,37,23
2004-06,27,0,23
2004-07,9,0,0
2004-08,12,0,38
2004-09,0,0,0
2004-10,14,21,14
2004-11,13,31,21
2004-12,16,21,30
2005-01,11,31,27
2005-02,19,28,16
2005-03,10,6,30
2005-04,13,26,0
2005-05,8,11,5
2005-06,0,18,8
2005-07,0,0,21
2005-08,0,0,10
2005-09,16,0,11
2005-10,15,8,26
2005-11,13,32,100
2005-12,35,41,54
2006-01,12,45,37
2006-02,30,37,36
2006-03,21,15,19
2006-04,18,17,24
2006-05,13,24,22
2006-06,10,19,26
2006-07,4,17,7
2006-08,5,15,6
2006-09,13,6,8
2006-10,14,11,15
2006-11,9,25,29
2006-12,10,50,55
2007-01,22,38,38
2007-02,30,35,28
2007-03,22,25,22
2007-04,20,22,30
2007-05,19,20,33
2007-06,16,20,14
2007-07,5,13,12
2007-08,4,13,8
2007-09,10,14,14
2007-10,15,14,21
2007-11,12,26,29
2007-12,18,61,66
2008-01,19,53,47
2008-02,30,36,35
2008-03,27,30,27
2008-04,25,21,30
2008-05,22,24,27
2008-06,15,24,22
2008-07,7,12,13
2008-08,8,9,14
2008-09,9,13,15
2008-10,14,18,22
2008-11,10,27,35
2008-12,19,43,61
2009-01,17,36,35
2009-02,29,28,31
2009-03,18,24,26
2009-04,20,26,32
2009-05,16,20,27
2009-06,9,14,13
2009-07,6,9,9
2009-08,8,11,13
2009-09,6,11,16
2009-10,14,13,17
2009-11,11,19,23
2009-12,13,36,49
2010-01,17,31,39
2010-02,25,23,31
2010-03,16,20,25
2010-04,12,21,25
2010-05,12,19,26
2010-06,7,18,19
2010-07,5,10,17
2010-08,7,9,16
2010-09,6,10,17
2010-10,10,16,23
2010-11,9,21,35
2010-12,10,38,44
2011-01,15,26,31
2011-02,18,19,28
2011-03,15,23,29
2011-04,18,23,34
2011-05,14,22,27
2011-06,9,14,18
2011-07,5,13,16
2011-08,5,12,14
2011-09,7,13,19
2011-10,9,14,21
2011-11,10,22,34
2011-12,14,46,51
2012-01,15,32,38
2012-02,21,25,35
2012-03,15,24,31
2012-04,14,26,35
2012-05,13,20,28
2012-06,8,16,19
2012-07,5,11,15
2012-08,5,11,15
2012-09,9,12,19
2012-10,12,15,22
2012-11,10,22,33
2012-12,13,49,47
2013-01,15,37,38
2013-02,21,27,47
2013-03,16,23,43
2013-04,18,28,41
2013-05,12,21,30
2013-06,8,17,22
2013-07,5,22,18
2013-08,6,15,18
2013-09,6,14,21
2013-10,8,17,28
2013-11,8,22,36
2013-12,15,45,52
2014-01,16,30,41
2014-02,23,25,37
2014-03,15,25,38
2014-04,18,28,39
2014-05,13,22,31
2014-06,7,15,20
2014-07,5,13,17
2014-08,5,11,16
2014-09,6,14,24
2014-10,8,16,27
2014-11,8,17,30
2014-12,11,34,39
2015-01,13,26,37
2015-02,17,24,36
2015-03,14,24,38
2015-04,17,31,41
2015-05,10,19,30
2015-06,6,16,22
2015-07,5,14,19
2015-08,5,11,20
2015-09,6,13,42
2015-10,15,17,65
2015-11,8,19,49
2015-12,12,35,57
2016-01,11,26,36
2016-02,17,21,40
2016-03,13,22,43
2016-04,16,25,45
2016-05,11,20,33
2016-06,6,13,23
2016-07,4,11,19
2016-08,5,11,19
2016-09,5,13,23
2016-10,7,13,26
2016-11,6,18,30
2016-12,9,22,32
2017-01,11,22,30
2017-02,14,19,33
2017-03,12,21,40
2017-04,15,24,40
2017-05,11,16,28
2017-06,6,11,22
2017-07,5,9,16
2017-08,5,7,16
2017-09,7,10,20
2017-10,12,12,25
2017-11,8,15,27
2017-12,9,27,33
2018-01,11,21,30
2018-02,15,19,34
2018-03,11,21,36
2018-04,14,25,34
2018-05,10,17,26
2018-06,6,12,19
2018-07,3,10,14
2018-08,4,9,16
2018-09,5,10,19
2018-10,6,11,23
2018-11,6,14,27
2018-12,8,25,31
2019-01,9,22,28
2019-02,14,21,31
2019-03,12,25,37
2019-04,15,25,38
2019-05,9,15,23
2019-06,6,10,17
2019-07,4,8,14
2019-08,5,7,14
2019-09,5,9,18
2019-10,6,11,23
2019-11,6,15,25
2019-12,9,23,30
2020-01,9,20,30
2020-02,12,19,35
2020-03,8,18,31
2020-04,9,17,29
2020-05,7,11,16
2020-06,5,9,15
2020-07,4,8,13
2020-08,5,7,14
2020-09,5,11,19
2020-10,5,10,30
2020-11,5,12,23
2020-12,8,23,33
2021-01,8,17,28
2021-02,12,17,31
2021-03,10,20,34
2021-04,12,21,32
2021-05,7,12,23
2021-06,5,9,17
2021-07,3,7,12
2021-08,5,6,13
2021-09,5,7,17
2021-10,6,7,18
2021-11,4,9,18
2021-12,6,15,26
2022-01,8,17,23
2022-02,11,19,31
2022-03,11,21,37
2022-04,13,21,34
2022-05,7,14,22
2022-06,4,11,15
2022-07,3,10,12
2022-08,4,7,12
2022-09,5,9,16
2022-10,8,11,22
2022-11,5,12,20
2022-12,6,17,23
2023-01,7,17,26
2023-02,10,19,30
2023-03,11,22,34
2023-04,11,22,28
2023-05,9,16,24
