Категория: Все категории

Месяц,Лев Толстой: (Россия),Фёдор Достоевский: (Россия),Антон Чехов: (Россия)
2004-01,54,0,73
2004-02,0,18,27
2004-03,39,51,0
2004-04,49,63,83
2004-05,75,51,87
2004-06,34,49,28
2004-07,41,0,22
2004-08,67,18,25
2004-09,0,0,46
2004-10,30,0,37
2004-11,0,21,39
2004-12,0,0,35
2005-01,47,0,32
2005-02,44,36,24
2005-03,45,73,55
2005-04,32,41,70
2005-05,75,14,97
2005-06,39,34,56
2005-07,21,28,29
2005-08,13,29,10
2005-09,26,18,48
2005-10,20,14,36
2005-11,52,8,50
2005-12,28,13,34
2006-01,30,13,33
2006-02,61,64,40
2006-03,35,50,42
2006-04,56,39,36
2006-05,43,45,78
2006-06,25,17,31
2006-07,15,28,39
2006-08,23,15,40
2006-09,18,21,64
2006-10,7,17,48
2006-11,27,42,28
2006-12,29,27,50
2007-01,47,47,51
2007-02,54,47,62
2007-03,51,45,53
2007-04,79,53,65
2007-05,54,44,97
2007-06,20,35,38
2007-07,27,25,37
2007-08,17,16,33
2007-09,26,15,77
2007-10,20,28,38
2007-11,32,29,36
2007-12,32,30,45
2008-01,35,33,58
2008-02,62,57,73
2008-03,56,45,59
2008-04,70,46,80
2008-05,52,39,100
2008-06,31,23,49
2008-07,22,20,33
2008-08,18,17,37
2008-09,34,18,88
2008-10,26,18,52
2008-11,24,27,49
2008-12,32,30,44
2009-01,45,30,54
2009-02,57,47,57
2009-03,49,38,53
2009-04,51,28,62
2009-05,37,24,77
2009-06,25,23,43
2009-07,21,16,37
2009-08,15,15,32
2009-09,26,25,69
2009-10,25,21,53
2009-11,29,23,44
2009-12,28,28,50
2010-01,40,23,96
2010-02,50,31,94
2010-03,45,39,69
2010-04,48,30,66
2010-05,39,25,77
2010-06,27,26,37
2010-07,22,23,39
2010-08,21,19,35
2010-09,26,19,60
2010-10,28,23,46
2010-11,39,27,43
2010-12,40,25,45
2011-01,37,26,47
2011-02,48,37,57
2011-03,46,38,56
2011-04,47,33,61
2011-05,35,47,75
2011-06,26,26,41
2011-07,21,19,35
2011-08,21,20,39
2011-09,24,21,59
2011-10,25,19,38
2011-11,28,36,36
2011-12,29,22,38
2012-01,40,24,54
2012-02,54,38,69
2012-03,42,33,55
2012-04,40,31,57
2012-05,33,26,79
2012-06,23,20,43
2012-07,22,19,37
2012-08,22,16,38
2012-09,26,19,60
2012-10,25,18,43
2012-11,29,20,40
2012-12,28,20,38
2013-01,43,26,58
2013-02,51,35,67
2013-03,44,29,56
2013-04,42,33,61
2013-05,30,24,70
2013-06,26,19,44
2013-07,24,18,41
2013-08,24,16,38
2013-09,26,18,59
2013-10,26,21,42
2013-11,30,22,40
2013-12,31,22,41
2014-01,43,23,57
2014-02,54,36,77
2014-03,45,36,56
2014-04,42,32,60
2014-05,32,36,70
2014-06,23,22,40
2014-07,22,19,39
2014-08,24,17,41
2014-09,39,18,56
2014-10,34,20,41
2014-11,39,22,40
2014-12,35,21,40
2015-01,46,23,63
2015-02,50,35,71
2015-03,42,32,52
2015-04,46,29,55
2015-05,34,23,65
2015-06,26,19,45
2015-07,25,19,52
2015-08,28,17,50
2015-09,29,20,70
2015-10,34,20,43
2015-11,35,24,45
2015-12,42,24,42
2016-01,47,21,70
2016-02,47,31,76
2016-03,43,30,56
2016-04,40,30,56
2016-05,33,25,66
2016-06,27,19,43
2016-07,26,19,47
2016-08,27,17,51
2016-09,28,18,54
2016-10,33,20,45
2016-11,38,27,43
2016-12,35,23,32
2017-01,53,23,47
2017-02,50,29,53
2017-03,47,28,40
2017-04,44,26,38
2017-05,35,22,45
2017-06,29,20,27
2017-07,28,18,23
2017-08,29,15,25
2017-09,29,16,36
2017-10,32,17,29
2017-11,40,23,28
2017-12,40,23,33
2018-01,51,23,45
2018-02,54,33,54
2018-03,41,25,38
2018-04,41,24,36
2018-05,34,21,44
2018-06,29,17,27
2018-07,26,17,22
2018-08,30,17,24
2018-09,35,18,34
2018-10,38,17,26
2018-11,39,25,27
2018-12,39,23,31
2019-01,47,24,49
2019-02,46,32,69
2019-03,44,29,51
2019-04,41,23,35
2019-05,33,19,38
2019-06,28,18,26
2019-07,28,18,24
2019-08,32,16,25
2019-09,31,16,34
2019-10,34,18,28
2019-11,43,25,30
2019-12,41,24,32
2020-01,61,22,53
2020-02,49,29,55
2020-03,38,23,41
2020-04,45,26,32
2020-05,34,19,36
2020-06,28,21,28
2020-07,28,19,26
2020-08,29,18,25
2020-09,29,16,30
2020-10,40,19,26
2020-11,40,25,26
2020-12,44,20,30
2021-01,53,23,44
2021-02,50,32,56
2021-03,41,28,38
2021-04,37,26,38
2021-05,29,19,32
2021-06,31,18,24
2021-07,29,17,24
2021-08,28,17,27
2021-09,31,19,29
2021-10,37,23,28
2021-11,43,50,31
2021-12,37,26,27
2022-01,50,26,45
2022-02,52,30,51
2022-03,40,28,38
2022-04,39,26,35
2022-05,32,23,34
2022-06,29,21,28
2022-07,30,20,27
2022-08,30,20,27
2022-09,29,19,30
2022-10,39,21,29
2022-11,47,26,30
2022-12,41,25,33
2023-01,52,26,58
2023-02,47,32,53
2023-03,38,27,37
2023-04,37,23,33
2023-05,29,23,34
